Image Number,Num_Vertices,Perimeter,Contour Area,ratio of perimeter and area,Circularity,Min_Angle_Change,Max_Angle_Change,Mean_Angle_Change,dim1 of tfb,dim2 of tfb,Ratio_Area_to_Bounding_Rect,Symmetry,gradient_magnitude
0026.jpg,483,1438.0386657714844,113568.0,0.012662357933321749,0.6901201607248977,90.0,135.0,133.6024844720497,463.09502264654066,325.4796460610095,0.7455686562852867,7.5169864573624565,0.6662217881944444
0028.jpg,267,1518.6173112392426,132517.0,0.011459792413345025,0.7220790869768035,45.00000000000001,135.0,131.12359550561797,449.21820978228385,328.1524036175874,0.8699679630261811,6.944916890087054,0.7042491319444445
0029.jpg,57,1537.0954520702362,150085.5,0.010241465378535809,0.7982647008185909,90.0,135.0,134.21052631578948,451.0,336.0,0.9853043512512801,5.945536874995617,0.7515212673611111
0030.jpg,37,1566.0416301488876,148876.5,0.010519065333675144,0.7628328884561072,90.0,135.0,131.35135135135135,335.0,450.0,0.9773673222867046,6.675494689242204,0.7630121527777778
0031.jpg,601,1481.8204103708267,104758.5,0.01414510908776688,0.5995259563386452,45.00000000000001,135.0,133.42762063227954,284.08449447303525,476.92871584755727,0.6892596077296085,7.820314641908072,0.68029296875
0032.jpg,16,1569.899494767189,150790.5,0.010411129976803506,0.7688473926580471,90.0,135.0,129.375,450.0,335.0,0.9899326435755363,6.368783504100374,0.7498177083333334
0033.jpg,85,1551.9827550649643,143494.5,0.010815625372853762,0.7486370849858661,90.0,135.0,132.35294117647058,456.2466438232724,322.18783341398847,0.9420347417347233,7.097661527396891,0.70609375
0034.jpg,148,1534.8944424390793,138451.5,0.011086152497004939,0.7385000042275204,90.0,135.0,132.56756756756758,454.1860852117775,330.15148038438355,0.9089276804705759,7.211732445997507,0.6991536458333333
0035.jpg,112,1532.308655500412,122090.0,0.012550648337295536,0.6534275602838941,45.00000000000001,135.0,130.98214285714286,450.0,336.0,0.8032923868488753,6.402203699576843,0.6768489583333334
0036.jpg,425,1395.234624862671,99196.0,0.014065432324515816,0.6403383803149588,90.0,135.0,133.41176470588235,456.5303932927139,326.39240187234753,0.6546035265547461,7.621622133067993,0.6511349826388889
0037.jpg,20,1568.7279218435287,150344.5,0.010434222215269124,0.7677187646929915,90.0,135.0,130.5,451.0,336.0,0.9870046742469998,6.232872739713856,0.7213389756944445
0038.jpg,488,1439.7960251569748,109882.5,0.013103051215225125,0.666095431832097,45.00000000000001,135.0,133.34016393442624,450.0,335.0,0.7251247228381374,7.305087883239044,0.6852473958333334
0039.jpg,42,1562.2842707633972,148034.0,0.010553550338188505,0.7621688898182237,90.0,135.0,132.85714285714286,451.0,336.0,0.9718363488353772,6.723649633056735,0.7087022569444444
0040.jpg,459,1433.4528789520264,98655.5,0.014529883067360931,0.6033430627686929,45.00000000000001,135.0,133.92156862745097,335.0373113550191,450.05444115129006,0.651036717347693,7.88577293931526,0.6591384548611111
0041.jpg,239,1533.1198381185532,107560.5,0.014253558119556465,0.575056437802826,90.0,135.0,134.43514644351464,449.25939055294106,324.68138228115265,0.7061296972243376,7.838095593656772,0.7057248263888889
0042.jpg,609,1358.773727297783,101007.0,0.013452272885025622,0.6874910591288522,90.0,135.0,134.33497536945814,404.7283039274619,362.36031791574527,0.6680357142857143,7.242626211262685,0.6303428819444444
0044.jpg,642,1389.8031653165817,102915.0,0.01350437900516525,0.6695483582519772,90.0,135.0,134.29906542056074,462.64024900563936,308.5206638136253,0.6791455495723788,7.355071602938857,0.6548589409722222
0045.jpg,429,1436.1391707658768,98004.5,0.014653808455385995,0.5971216610252139,45.00000000000001,135.0,134.05594405594405,334.0239512370333,451.0277153346566,0.6453098662031184,7.810865869888604,0.6590972222222222
0046.jpg,459,1581.1686084270477,113966.5,0.01387397707595695,0.5728365334372325,90.0,135.0,132.54901960784315,482.0290447680513,303.8157336281319,0.7504115307627476,8.236561697343712,0.7240646701388889
0047.jpg,212,1536.0487703084946,127733.0,0.012025465387241313,0.6803039090092138,90.0,135.0,133.72641509433961,337.013352851189,449.02783878062615,0.8385612247577532,7.096902059297062,0.6928016493055555
0048.jpg,405,1293.408286333084,90542.5,0.01428509579847126,0.6801286472607713,90.0,135.0,132.44444444444446,387.3306081372863,341.2477106150311,0.599281861203958,7.443861292885775,0.6133268229166666
0050.jpg,64,1559.2548332214355,146996.0,0.010607464374686628,0.7597683242055664,45.00000000000001,135.0,130.78125,451.0,336.0,0.9650219269451957,6.3935992586216575,0.7488346354166666
0051.jpg,278,1455.913774728775,130628.5,0.01114545275134274,0.7744198813414344,90.0,135.0,133.38129496402877,336.00595232822883,450.00999988889134,0.859471533749597,6.622088051775249,0.6660373263888889
0052.jpg,475,1470.1391710042953,107035.5,0.013735061460957302,0.6223301011348856,90.0,135.0,133.01052631578946,323.6108774438832,421.47004638526806,0.7063371080139372,7.512840331777967,0.68322265625
0053.jpg,566,1345.685414671898,110789.0,0.012146381090829396,0.7688106942707139,90.0,135.0,133.886925795053,321.1681802420657,452.26983096377325,0.7311067997043607,6.798593199122539,0.6356662326388889
0056.jpg,240,1494.2325358390808,125872.5,0.011871000701813985,0.7084420722565942,90.0,135.0,133.5,452.00442475710344,334.0059879702758,0.82880649494311,7.687271864449548,0.6865473090277778
0057.jpg,109,1546.3675310611725,143922.0,0.010744483338622117,0.7563304839030259,90.0,135.0,132.93577981651376,451.0,336.0,0.9448412594207085,6.735856018110604,0.7020724826388889
0059.jpg,64,1559.2548332214355,146464.0,0.01064599378155339,0.7570186116387119,45.00000000000001,135.0,130.78125,451.0277153346566,332.02409551115414,0.9615293716026365,6.629588578952832,0.7086263020833333
0060.jpg,363,1485.6711344718933,128253.0,0.01158390941710442,0.7301835182637683,90.0,135.0,133.38842975206612,449.32171102674306,329.21877224727024,0.8463533417801711,7.109854158246867,0.68251953125
0062.jpg,99,1551.2964633703232,143670.5,0.010797599113042157,0.7502186606570889,90.0,135.0,133.63636363636363,449.0545623863541,330.0545409474016,0.9431901735773746,6.7305424956009,0.69541015625
0065.jpg,530,1410.2468165159225,106769.5,0.01320833024895614,0.6746318129072008,90.0,135.0,133.81132075471697,453.28247263709636,320.09061217099134,0.7045817495512617,7.522645574990842,0.6602256944444445
0066.jpg,46,1561.5979789495468,132328.0,0.011800964111522481,0.6819038401077614,90.0,135.0,133.04347826086956,451.0,336.0,0.8687271867860613,6.903730071633012,0.7392404513888889
0067.jpg,107,1549.7817445993423,146792.5,0.010557635741603571,0.7680202114281477,90.0,135.0,132.89719626168224,451.089791504973,333.073565447635,0.9636859588771304,6.647278189374357,0.7378993055555556
0068.jpg,453,1433.3523737192154,96279.0,0.014887487133426972,0.5888917835124969,90.0,135.0,133.7086092715232,334.0374230531663,451.03990954238185,0.6339483249051833,7.88292370977317,0.6548828125
0069.jpg,276,1525.64674949646,106651.0,0.014305039329180785,0.5757935820298039,90.0,135.0,132.7173913043478,448.90644905146996,323.12536266904215,0.7001588718783646,7.301080887645998,0.6866644965277777
0072.jpg,157,1528.8944424390793,134994.5,0.011325605431621876,0.7257230793756612,90.0,135.0,134.14012738853503,336.0133925902359,451.0277153346566,0.886232635697592,7.534856576428832,0.7013172743055556
0074.jpg,57,1532.0660163164139,149764.5,0.01022983428193206,0.8017958171445819,90.0,135.0,126.3157894736842,451.0,336.0,0.9831970011291721,5.9385802705088055,0.79634765625
0075.jpg,52,1559.9411249160767,147107.0,0.010604125737837606,0.7596731689253006,90.0,135.0,131.53846153846155,451.01773801038024,333.0135132393279,0.9657506368005042,6.797740099981448,0.7227191840277778
0076.jpg,179,1582.4507913589478,133004.0,0.011897768423197405,0.6674429322325863,90.0,135.0,133.74301675977654,449.0,335.0,0.8751011599676288,7.242712074010518,0.7358138020833334
0077.jpg,161,1527.8650048971176,141473.5,0.010799655093689756,0.7615790603719389,90.0,135.0,134.1614906832298,455.2471856036015,328.219438790575,0.928766970405189,6.8171603546108255,0.6931705729166666
0079.jpg,365,1473.8132699728012,121899.0,0.012090445942729646,0.7052207494043963,90.0,135.0,134.13698630136986,450.0,336.0,0.8020357004217465,7.328656002008813,0.7051085069444445
0081.jpg,307,1511.6883796453476,128886.5,0.011728834126501593,0.7087494664821867,90.0,135.0,132.21498371335505,450.32099662351965,330.25596133908016,0.8461338987946745,6.946605460261298,0.6905078125
0087.jpg,721,1624.1290662288666,70651.5,0.02298789220651885,0.3365814470585287,90.0,135.0,133.6893203883495,323.0681042752441,440.1477024817919,0.4686666666666667,9.493558851331384,0.74134765625
0088.jpg,385,1376.7320947647095,98597.5,0.013963154185093024,0.6536976044490095,90.0,135.0,133.24675324675326,450.0,336.0,0.6487232460670979,7.482488811025193,0.64271484375
0092.jpg,608,1375.3178840875626,75342.0,0.018254332033760222,0.5005423494955077,45.00000000000001,135.0,133.96381578947367,450.0,334.0,0.4986729324552404,8.147117713090603,0.6304535590277778
0095.jpg,34,1565.213203072548,148803.5,0.010518658519944409,0.7632661547883006,90.0,135.0,129.7058823529412,451.0,336.0,0.9768880806701504,6.608570102899798,0.7155837673611111
0097.jpg,324,1486.658942103386,122912.5,0.012095262419228198,0.6988487960453806,45.00000000000001,135.0,133.05555555555554,450.0,336.0,0.808704033897636,7.036310001976404,0.6883420138888889
0099.jpg,521,1378.5899626016617,83452.5,0.01651945672809876,0.551796563259591,45.00000000000001,135.0,133.70441458733205,373.7927233106605,383.24013359772226,0.5519345238095238,7.458493051771591,0.6315690104166667
0102.jpg,402,1414.849846124649,126147.5,0.011215837381831975,0.791895378218334,90.0,135.0,132.76119402985074,451.0,336.0,0.8281524907434153,6.676353591859284,0.6770095486111111
0104.jpg,124,1588.509666442871,70743.0,0.022454655109945452,0.3523007868185861,45.0,135.0,131.3709677419355,451.0,335.0,0.4658067319848293,7.374260949539961,0.78107421875
0105.jpg,84,1550.5685415267944,143495.0,0.010805732196430499,0.7500059269011939,90.0,135.0,132.85714285714286,451.21724257833944,329.1519405988669,0.942038024211549,7.033809367858368,0.7069401041666666
0109.jpg,27,1567.4558436870575,151232.0,0.010364577891498212,0.7735046503404717,90.0,135.0,126.66666666666667,451.0,336.0,0.9928310706126414,5.728304962822145,0.79265625
0111.jpg,102,1537.0954525470734,129065.5,0.01190942159250205,0.686464932852134,90.0,135.0,132.35294117647058,334.0239512370333,450.0177774266257,0.84730902549828,7.594236410129087,0.7063715277777778
0112.jpg,401,1361.785921573639,104466.5,0.01303562310954841,0.7078956253419366,90.0,135.0,132.86783042394015,334.0538878684096,449.0712638323677,0.6858177306268217,7.123064365484349,0.6509657118055555
0113.jpg,163,1522.5929261446,143117.0,0.010638798508525192,0.775770878229071,90.0,135.0,133.06748466257667,451.00110864608746,335.0014925339886,0.9395564717313096,6.4749279688547405,0.6976323784722223
0114.jpg,45,1561.698484301567,148264.5,0.010533192263161897,0.7639284140483207,90.0,135.0,132.0,451.00443456799843,335.00597009605667,0.9733495706520312,6.414588400394634,0.7124110243055556
0115.jpg,106,1524.2081497907639,146196.5,0.010425749931022726,0.7907847413150134,90.0,135.0,131.60377358490567,333.0540496676178,446.07174310866185,0.9597732465008797,6.22620186458648,0.6931749131944445
0116.jpg,471,1429.1240099668503,92832.5,0.015394651764919078,0.5711761687149266,90.0,135.0,132.4203821656051,434.28331766256,330.5102116425452,0.6126102048358146,8.563557034517922,0.6679253472222222
