Tight-Fitting Boxes (Coordinates),Dimension 1,Dimension 2,Contour Area,Tight fit box Area
"[[ 64 148]
 [540  72]
 [588 372]
 [113 448]]",482.0290447680513,303.8157336281319,114058.5,146448.00786627314
"[[102  74]
 [552  74]
 [552 410]
 [102 410]]",450.0,336.0,98772.5,151200.0
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,103612.5,151536.0
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,103612.5,151536.0
"[[ 93 102]
 [536  65]
 [565 400]
 [122 438]]",444.5424614139801,336.2528810285497,118905.0,149478.6833899737
"[[ 77 370]
 [102  66]
 [578 105]
 [552 410]]",305.026228380446,477.59501672442104,99644.5,145679.00664474617
"[[ 64 148]
 [540  72]
 [588 372]
 [113 448]]",482.0290447680513,303.8157336281319,114058.5,146448.00786627314
"[[-28 346]
 [103  73]
 [552 291]
 [420 563]]",302.80356668969404,499.1242330322181,75550.0,151136.59798341364
"[[ 99 407]
 [105  73]
 [554  81]
 [548 415]]",334.0538878684096,449.0712638323677,104628.5,150014.00161318274
"[[101 405]
 [106  73]
 [553  80]
 [548 412]]",332.03764846776033,447.0548064835004,146220.0,148439.0266809911
"[[ 29 279]
 [398  49]
 [574 330]
 [205 560]]",434.81145339100715,331.5674893592555,93032.0,144169.34194550518
